Well,Experiment,Condition,Treatments,Rep,Inulin,Starch,Pectin,ArGal,Gum,AmAc,pH,Time,OD?,OD
20,REU04,ER,REU04_ER,3,0,1,0,0,0,1,1,16.00277778,0.010358846,0.000358846
20,REU04,ER,REU04_ER,3,0,1,0,0,0,1,1,18.00388889,0.006949808,-0.003050192
20,REU04,ER,REU04_ER,3,0,1,0,0,0,1,1,20.00361111,0.005693846,-0.004306154
20,REU04,ER,REU04_ER,3,0,1,0,0,0,1,1,22.00444444,0.001208269,-0.008791731
20,REU04,ER,REU04_ER,3,0,1,0,0,0,1,1,24.00444444,0.00067,-0.00933
21,REU04,FP,REU04_FP,3,0,1,0,0,0,1,1,0,0.01,0
21,REU04,FP,REU04_FP,3,0,1,0,0,0,1,1,2.000277778,0.012484614,0.002484614
21,REU04,FP,REU04_FP,3,0,1,0,0,0,1,1,4.000277778,0.0120202,0.0020202
21,REU04,FP,REU04_FP,3,0,1,0,0,0,1,1,6.000833333,0.01200859,0.00200859
21,REU04,FP,REU04_FP,3,0,1,0,0,0,1,1,8.001111111,0.013169624,0.003169624
21,REU04,FP,REU04_FP,3,0,1,0,0,0,1,1,10.00166667,0.012275628,0.002275628
